date,question,option_a,option_b,option_c,option_d,answer,explanation
2026-09-08,What is the circular target scoring area on the ice called in curling?,The Ring,The House,The Circle,The Disc,B,The circular scoring target painted into the ice at each end of the sheet is officially known as the house.
2026-09-08,How many stones does each team deliver in a single end of traditional four-player curling?,6,8,10,12,B,"Each of the four players throws two stones per end, giving each team eight delivered stones for a total of sixteen."
2026-09-08,What is the name of the smallest central circle inside the house?,The Pin,The Eye,The Button,The Spot,C,The button is the central circle of the house with a six-inch radius (one-foot diameter) surrounding the tee.
2026-09-08,What is the diameter of the largest outermost ring of a standard curling house?,10 feet,12 feet,14 feet,16 feet,B,"The standard curling house consists of concentric rings measuring 4 feet, 8 feet, and 12 feet in diameter."
2026-09-08,"According to World Curling specifications, what is the maximum allowable weight of an Olympic curling stone?",38 pounds (17.2 kg),40 pounds (18.1 kg),44 pounds (19.96 kg),48 pounds (21.8 kg),C,A standard curling stone must weigh between 38 and 44 pounds (17.24 to 19.96 kg) including handle and bolt assembly.
2026-09-08,What term describes having the right to deliver the final stone of an end?,The Anvil,The Hammer,The Anchor,The Striker,B,"Holding the hammer means possessing last-stone advantage in the end, which confers a major tactical scoring edge."
2026-09-09,How is scoring determined at the completion of an end in curling?,Both teams score based on stones in the house,Only the team with the stone closest to the button can score,The team with the most guards receives bonus points,Points are awarded for every stone that crosses the tee line,B,Only one team can score in any end: one point for each stone closer to the button than the opponent's closest stone.
2026-09-09,What is the official term for an end in which neither team scores any points?,Dead end,Blank end,Scratch end,Void end,B,"A blank end occurs when neither team scores, allowing the team that held the hammer to retain it for the next end."
2026-09-09,"Under the standard five-rock Free Guard Zone rule, before which stone can an opponent's guard first be legally eliminated from play?",Fourth stone,Fifth stone,Sixth stone,Seventh stone,C,"Under the five-rock rule, no opponent stone positioned in the Free Guard Zone may be knocked out of play before delivery of the sixth stone."
2026-09-09,What happens if a delivered stone comes to rest without completely crossing the far hog line?,It remains in play as a legal long guard,It is immediately removed from play,It is moved to the back line,The opposing skip may reposition it anywhere,B,Any delivered stone that fails to completely cross the far hog line without contacting an in-play stone is removed from play.
2026-09-09,What type of shot comes to rest touching or resting immediately against an opponent's stone in the house?,Freeze,Peel,Split,Wick,A,"A freeze is a precision draw that stops directly against an opponent's stone, making it nearly impossible to remove without moving the shooter."
2026-09-10,Which shot aims to remove an opponent's guard while deliberately rolling the shooter's own stone out of play as well?,Draw,Peel,Raise,Wick,B,A peel is a high-velocity takeout designed to clear a guard while ensuring the shooter rolls out of play to keep the lane open.
2026-09-10,What is the term for striking a stationary stone to push it forward into a better scoring position?,Tapback or raise,Split,Freeze,Jam,A,A raise or promotion involves hitting a stationary stone in front of the house to drive it further into the scoring area.
2026-09-10,What is it called when a moving stone caroms lightly off the side of a stationary rock to alter its path?,Wick,Peel,Dump,Bury,A,A wick (or carom) occurs when a delivered stone glances off the outer edge of another stone to redirect toward the house.
2026-09-10,What shot removes an opponent's stone from the house while the shooter rolls sideways behind a protective guard?,Hit and roll,Hit and stay,Double peel,Through shot,A,A hit and roll strikes an opponent stone to remove it while deflecting sideways into a protected position behind cover.
2026-09-10,From which uninhabited Scottish island is the unique water-resistant microgranite harvested for Olympic stones?,Staffa,Ailsa Craig,Iona,Skye,B,Ailsa Craig in the Firth of Clyde produces rare Common Green and Blue Hone granite used for world-class curling stones.
2026-09-11,What is the name of the narrow annular ring on the bottom of a curling stone that actually contacts the ice?,The Striking Band,The Running Band,The Flat,The Bevel,B,The running band is a concave annular ring approximately 5 inches in diameter and only a few millimeters wide that touches the ice.
2026-09-11,What is the purpose of spraying fine water droplets onto the ice sheet before a curling match?,Freezing the hack securely,Creating pebble to reduce friction,Marking the hog lines,Preventing stones from curling too much,B,"Pebbling creates raised droplets that freeze into tiny bumps, greatly reducing friction so stones slide freely and curl predictably."
2026-09-11,What tool do ice technicians use to cut off the sharp tops of frozen pebble droplets for consistent speed?,Ice rake,Ice scraper or nipper,Hedge trimmer,Rotary brush,B,"A pebble nipper or specialized flat ice blade shears the tops of fresh pebble drops, creating flat microscopic platforms for smooth gliding."
2026-09-11,What term describes an area of the curling sheet where stones consistently deviate or slide off true line?,Fall or run,Biter,Hack ridge,Tee shelf,A,A fall or run refers to an irregularity or slope in the sheet where gravity causes stones to fall away from or curl unexpectedly toward an edge.
2026-09-11,Which player on a four-person curling team traditionally throws the first two stones of an end?,Lead,Second,Third,Skip,A,The lead delivers the team's first two stones of an end and provides crucial sweeping duties for subsequent teammates.
2026-09-12,"Which player is primarily responsible for team strategy, calling shots, and holding the broom in the house?",Lead,Second,Third,Skip,D,"The skip acts as team captain, determining game tactics, reading ice curl, and holding target brooms for teammates' deliveries."
2026-09-12,What is another common title for the player who throws third stones and holds the broom when the skip delivers?,Vice-skip or mate,Alternate,Sweeper-in-chief,Tail,A,"The third is also known as the vice-skip or mate, directing the house and consulting with the skip on critical strategic calls."
2026-09-12,Which pair of positions on a four-person team does the bulk of sweeping during the skip's shots?,Lead and Second,Second and Third,Lead and Third,Skip and Alternate,A,"The front end (lead and second) are the primary sweepers for the back end's shots, possessing the conditioning for sustained brushing."
